GEOID,pop,earnings
360670008002,1481,16289.0
360670008001,1309,35559.0
360670112422,1229,26023.0
360670112424,2802,60116.0
360670125002,1706,40145.0
360670125003,1170,42339.0
360670131004,1357,41071.0
360670131003,1194,41111.0
360670131002,1196,39861.0
360670154001,1275,31056.0
360670154002,1493,45921.0
360670165021,911,35000.0
360670165022,1236,30568.0
360670165023,1161,50284.0
360670015001,1593,26859.0
360670015002,1397,21905.0
360670103222,1206,49167.0
360670104002,2419,68188.0
360670105002,1290,36082.0
360670112411,944,55583.0
360670112423,1750,44153.0
360670125001,772,40781.0
360670131001,820,30000.0
360670139002,1268,28529.0
360670154003,1040,51712.0
360670165024,1083,48214.0
360670160013,971,42500.0
360670039001,726,
360670103221,2393,47109.0
360670148001,596,37292.0
360670168021,1085,37778.0
360670034001,1437,18469.0
360670048002,789,53409.0
360670055001,751,21324.0
360670056011,1466,46440.0
360670143003,980,33856.0
360670147001,1067,55481.0
360670147003,1051,52931.0
360670152021,2228,69702.0
360670003002,760,40347.0
360670006003,722,22586.0
360670018003,1429,32589.0
360670112012,898,26198.0
360670027002,699,28400.0
360670110211,1777,61125.0
360670054004,650,19081.0
360670054003,598,20089.0
360670060003,1628,33338.0
360670106001,1045,41739.0
360670111014,540,35192.0
360670111021,701,30703.0
360670103011,641,
360670105001,1181,49702.0
360670168011,735,38393.0
360670014003,920,20813.0
360670017022,1609,31887.0
360670150004,1199,49083.0
360670136003,1491,36161.0
360670001001,749,73641.0
360670051003,777,27468.0
360670162001,668,32847.0
360670045002,1277,40489.0
360670110221,2121,35722.0
360670130002,984,31685.0
360670130004,724,41827.0
360670157004,2409,50074.0
360670128001,897,25543.0
360670163003,1261,
360670163004,718,29893.0
360670133002,720,31914.0
360670110123,1478,36758.0
360670014001,1092,20515.0
360670019004,802,40729.0
360670023002,777,18207.0
360670042002,1403,18000.0
360670061013,1345,29803.0
360670103211,1221,42202.0
360670119001,1066,49500.0
360670126001,795,50789.0
360670134003,1145,
360670134004,1473,49349.0
